        Frequency / GHz                S2,1/abs,dB
----------------------------------------------------------------------
                       2                     -0.15083819
               2.0079999                     -0.14937551
                   2.016                     -0.14766323
               2.0239999                      -0.1457675
               2.0320001                     -0.14375743
                    2.04                     -0.14170368
               2.0480001                     -0.13967643
                   2.056                     -0.13774436
               2.0639999                     -0.13597623
                   2.072                     -0.13443074
               2.0799999                      -0.1331662
               2.0880001                     -0.13223088
                   2.096                     -0.13166691
               2.1040001                     -0.13150728
                   2.112                      -0.1317744
               2.1199999                     -0.13248382
                   2.128                     -0.13363981
               2.1359999                     -0.13523668
               2.1440001                     -0.13725911
                   2.152                     -0.13968526
               2.1600001                     -0.14248158
                   2.168                     -0.14560919
               2.1760001                     -0.14902024
                   2.184                     -0.15266452
               2.1919999                     -0.15648541
                     2.2                     -0.16042306
               2.2079999                     -0.16441645
               2.2160001                     -0.16840494
                   2.224                     -0.17232672
               2.2320001                     -0.17612452
                    2.24                     -0.17974322
               2.2479999                      -0.1831332
                   2.256                     -0.18625185
               2.2639999                     -0.18906036
               2.2720001                     -0.19153115
                    2.28                     -0.19364211
               2.2880001                     -0.19538204
                   2.296                     -0.19674466
               2.3039999                     -0.19773722
                   2.312                     -0.19837229
               2.3199999                     -0.19867337
               2.3280001                     -0.19866805
                   2.336                     -0.19839387
               2.3440001                     -0.19789154
                   2.352                     -0.19720802
               2.3599999                      -0.1963955
                   2.368                      -0.1955059
               2.3759999                     -0.19459412
               2.3840001                     -0.19371458
                   2.392                      -0.1929213
               2.4000001                     -0.19226455
                   2.408                     -0.19179275
               2.4159999                     -0.19154841
                   2.424                     -0.19157004
               2.4319999                     -0.19188874
               2.4400001                     -0.19253079
                   2.448                      -0.1935145
               2.4560001                     -0.19484926
                   2.464                     -0.19653899
               2.4719999                     -0.19857798
                    2.48                     -0.20095485
               2.4879999                     -0.20365048
               2.4960001                      -0.2066385
               2.5039999                     -0.20988778
               2.5120001                     -0.21336016
                    2.52                     -0.21701622
               2.5280001                     -0.22080923
                   2.536                     -0.22469227
               2.5439999                     -0.22861712
                   2.552                     -0.23253489
               2.5599999                     -0.23639612
               2.5680001                     -0.24015682
                   2.576                     -0.24377156
               2.5840001                     -0.24720179
                   2.592                     -0.25041301
               2.5999999                     -0.25337575
                   2.608                     -0.25606705
               2.6159999                      -0.2584699
               2.6240001                     -0.26057484
                   2.632                     -0.26237973
               2.6400001                     -0.26388953
                   2.648                     -0.26511454
               2.6559999                     -0.26607443
                   2.664                     -0.26679153
               2.6719999                     -0.26729719
               2.6800001                     -0.26762632
                   2.688                     -0.26781596
               2.6960001                     -0.26790919
                   2.704                     -0.26794904
               2.7119999                     -0.26798097
                    2.72                     -0.26804965
               2.7279999                     -0.26819922
               2.7360001                     -0.26847289
                   2.744                     -0.26890953
               2.7520001                     -0.26954461
                    2.76                     -0.27041045
               2.7679999                     -0.27153306
                   2.776                     -0.27293367
               2.7839999                     -0.27462705
               2.7920001                      -0.2766224
                     2.8                     -0.27892238
               2.8080001                     -0.28152231
                   2.816                     -0.28441159
               2.8239999                     -0.28757526
                   2.832                     -0.29098994
               2.8399999                     -0.29463004
                   2.848                     -0.29846395
               2.8559999                     -0.30245561
               2.8640001                     -0.30656728
                   2.872                     -0.31075911
               2.8800001                     -0.31498959
                   2.888                     -0.31921685
               2.8959999                     -0.32339908
                   2.904                      -0.3274971
               2.9119999                     -0.33147491
               2.9200001                     -0.33529773
                   2.928                     -0.33893495
               2.9360001                      -0.3423641
                   2.944                     -0.34556282
               2.9519999                       -0.348519
                    2.96                     -0.35122321
               2.9679999                     -0.35367452
               2.9760001                     -0.35587623
                   2.984                     -0.35783962
               2.9920001                     -0.35958022
                       3                     -0.36112004
               3.0079999                     -0.36248532
                   3.016                     -0.36370698
               3.0239999                     -0.36481981
               3.0320001                     -0.36586002
                    3.04                     -0.36686758
               3.0480001                     -0.36788252
                   3.056                     -0.36894609
               3.0639999                     -0.37009798
                   3.072                     -0.37137544
               3.0799999                     -0.37281604
               3.0880001                     -0.37445067
                   3.096                     -0.37631031
               3.1040001                     -0.37841897
                   3.112                     -0.38079565
               3.1199999                     -0.38345576
                   3.128                     -0.38640653
               3.1359999                     -0.38965261
               3.1440001                     -0.39319058
                   3.152                     -0.39701218
               3.1600001                     -0.40110202
                   3.168                     -0.40544292
               3.1760001                     -0.41000995
                   3.184                     -0.41477493
