        Frequency / GHz                S2,1 (eps_r=4)/abs,dB
----------------------------------------------------------------------
                       2                     -0.13609915
               2.0079999                     -0.13820119
                   2.016                     -0.14051731
               2.0239999                     -0.14300405
               2.0320001                     -0.14561362
                    2.04                     -0.14829627
               2.0480001                     -0.15099847
                   2.056                     -0.15366645
               2.0639999                     -0.15624921
                   2.072                     -0.15869727
               2.0799999                     -0.16096747
               2.0880001                     -0.16302299
                   2.096                     -0.16483328
               2.1040001                     -0.16637767
                   2.112                     -0.16764548
               2.1199999                     -0.16863509
                   2.128                     -0.16935355
               2.1359999                     -0.16981945
               2.1440001                     -0.17005806
                   2.152                     -0.17010548
               2.1600001                     -0.17000252
                   2.168                     -0.16979466
               2.1760001                     -0.16953355
                   2.184                     -0.16927119
               2.1919999                     -0.16906038
                     2.2                     -0.16895222
               2.2079999                     -0.16899578
               2.2160001                     -0.16923307
                   2.224                     -0.16970183
               2.2320001                     -0.17043126
                    2.24                     -0.17144432
               2.2479999                      -0.1727516
                   2.256                     -0.17435656
               2.2639999                     -0.17625345
               2.2720001                     -0.17842507
                    2.28                     -0.18084769
               2.2880001                     -0.18348847
                   2.296                      -0.1863073
               2.3039999                      -0.1892602
                   2.312                     -0.19229702
               2.3199999                     -0.19536738
               2.3280001                     -0.19841848
                   2.336                     -0.20139953
               2.3440001                     -0.20426254
                   2.352                     -0.20696261
               2.3599999                     -0.20946262
                   2.368                     -0.21173118
               2.3759999                     -0.21374507
               2.3840001                     -0.21549097
                   2.392                     -0.21696506
               2.4000001                      -0.2181716
                   2.408                     -0.21912548
               2.4159999                     -0.21985053
                   2.424                     -0.22037862
               2.4319999                     -0.22074766
               2.4400001                     -0.22100256
                   2.448                     -0.22119145
               2.4560001                      -0.2213658
                   2.464                      -0.2215776
               2.4719999                     -0.22187862
                    2.48                     -0.22231643
               2.4879999                     -0.22293735
               2.4960001                     -0.22377799
               2.5039999                     -0.22487242
               2.5120001                     -0.22624428
                    2.52                     -0.22790981
               2.5280001                     -0.22987429
                   2.536                     -0.23213562
               2.5439999                     -0.23468121
                   2.552                     -0.23748976
               2.5599999                     -0.24053303
               2.5680001                     -0.24377357
                   2.576                     -0.24716832
               2.5840001                       -0.250672
                   2.592                     -0.25423284
               2.5999999                     -0.25779953
                   2.608                     -0.26132121
               2.6159999                     -0.26474804
