        Frequency / GHz                S2,1 (h_su1=0.1)/abs,dB
----------------------------------------------------------------------
                       2                      -0.1485151
                   2.006                     -0.14896124
               2.0120001                     -0.14927452
               2.0179999                     -0.14945929
               2.0239999                     -0.14952349
                    2.03                     -0.14947562
                   2.036                     -0.14932443
               2.0420001                     -0.14907907
               2.0480001                     -0.14875164
               2.0539999                     -0.14835338
               2.0599999                     -0.14789506
                   2.066                     -0.14739002
                   2.072                     -0.14684982
               2.0780001                      -0.1462882
               2.0840001                     -0.14571693
               2.0899999                     -0.14514843
                   2.096                     -0.14459701
                   2.102                     -0.14407285
                   2.108                      -0.1435878
               2.1140001                     -0.14315456
               2.1199999                      -0.1427826
               2.1259999                     -0.14248154
                   2.132                     -0.14226157
                   2.138                     -0.14213066
               2.1440001                     -0.14209593
               2.1500001                     -0.14216364
               2.1559999                     -0.14234078
               2.1619999                     -0.14262922
                   2.168                     -0.14303513
                   2.174                     -0.14355957
               2.1800001                     -0.14420405
               2.1860001                     -0.14496871
               2.1919999                     -0.14585295
                   2.198                     -0.14685413
                   2.204                     -0.14797127
                    2.21                     -0.14919908
               2.2160001                     -0.15053247
               2.2219999                     -0.15196743
               2.2279999                     -0.15349707
                   2.234                     -0.15511381
                    2.24                     -0.15681114
               2.2460001                     -0.15857901
               2.2520001                      -0.1604102
               2.2579999                     -0.16229577
               2.2639999                     -0.16422444
                    2.27                      -0.1661876
                   2.276                     -0.16817589
               2.2820001                     -0.17017851
               2.2880001                     -0.17218618
               2.2939999                     -0.17418885
                     2.3                     -0.17617692
                   2.306                     -0.17814119
                   2.312                     -0.18007355
               2.3180001                     -0.18196459
               2.3239999                     -0.18380654
               2.3299999                     -0.18559271
                   2.336                     -0.18731647
                   2.342                      -0.1889713
                   2.348                     -0.19055303
               2.3540001                     -0.19205561
               2.3599999                     -0.19347706
               2.3659999                     -0.19481357
                   2.372                     -0.19606419
                   2.378                      -0.1972274
               2.3840001                     -0.19830247
               2.3900001                     -0.19929112
               2.3959999                     -0.20019347
                   2.402                     -0.20101408
                   2.408                      -0.2017535
                   2.414                     -0.20241723
               2.4200001                     -0.20300899
               2.4260001                     -0.20353428
               2.4319999                       -0.203999
                   2.438                     -0.20440914
                   2.444                     -0.20477117
                    2.45                     -0.20509115
               2.4560001                     -0.20537929
               2.4619999                     -0.20564159
               2.4679999                     -0.20588575
                   2.474                     -0.20612013
                    2.48                     -0.20635275
               2.4860001                     -0.20659087
               2.4920001                      -0.2068438
               2.4979999                     -0.20711754
               2.5039999                      -0.2074198
                    2.51                     -0.20775913
                   2.516                     -0.20814051
               2.5220001                     -0.20857117
               2.5280001                     -0.20905632
               2.5339999                     -0.20960157
                    2.54                     -0.21021139
                   2.546                     -0.21089096
                   2.552                     -0.21164232
               2.5580001                     -0.21246923
               2.5639999                     -0.21337292
               2.5699999                      -0.2143564
                   2.576                     -0.21541851
                   2.582                     -0.21656082
               2.5880001                     -0.21778206
               2.5940001                      -0.2190812
               2.5999999                     -0.22045644
               2.6059999                     -0.22190541
                   2.612                     -0.22342427
                   2.618                     -0.22501079
               2.6240001                     -0.22665907
               2.6300001                     -0.22836561
               2.6359999                     -0.23012461
                   2.642                     -0.23193058
                   2.648                     -0.23377884
                   2.654                     -0.23566151
               2.6600001                     -0.23757338
               2.6659999                     -0.23950823
               2.6719999                      -0.2414593
                   2.678                     -0.24341929
                   2.684                     -0.24538261
               2.6900001                     -0.24734205
               2.6960001                     -0.24929151
