        Frequency / GHz                S2,1/abs,dB
----------------------------------------------------------------------
                       2                      -0.1786561
               2.0079999                     -0.18322008
                   2.016                     -0.18805667
               2.0239999                     -0.19311152
               2.0320001                     -0.19832639
                    2.04                     -0.20363894
               2.0480001                     -0.20898705
                   2.056                     -0.21430854
               2.0639999                     -0.21954183
                   2.072                      -0.2246306
               2.0799999                      -0.2295195
               2.0880001                     -0.23416096
                   2.096                     -0.23851314
               2.1040001                     -0.24254187
                   2.112                     -0.24621999
               2.1199999                     -0.24952987
                   2.128                      -0.2524644
               2.1359999                     -0.25502514
               2.1440001                     -0.25722069
                   2.152                     -0.25907231
               2.1600001                     -0.26060896
                   2.168                     -0.26186645
               2.1760001                      -0.2628902
                   2.184                     -0.26372944
               2.1919999                     -0.26444075
                     2.2                     -0.26508566
               2.2079999                     -0.26572516
               2.2160001                      -0.2664248
                   2.224                      -0.2672487
               2.2320001                      -0.2682601
                    2.24                     -0.26952099
               2.2479999                     -0.27108808
                   2.256                     -0.27301264
               2.2639999                     -0.27534188
               2.2720001                     -0.27811475
                    2.28                     -0.28136258
               2.2880001                     -0.28510914
                   2.296                     -0.28936809
               2.3039999                     -0.29414543
                   2.312                     -0.29943696
               2.3199999                     -0.30523064
               2.3280001                     -0.31150447
                   2.336                     -0.31822856
               2.3440001                     -0.32536674
                   2.352                      -0.3328735
               2.3599999                     -0.34070035
                   2.368                     -0.34879155
               2.3759999                     -0.35708933
               2.3840001                     -0.36553436
                   2.392                     -0.37406429
               2.4000001                     -0.38262013
                   2.408                     -0.39114239
               2.4159999                     -0.39957644
                   2.424                     -0.40787298
               2.4319999                     -0.41598708
               2.4400001                     -0.42388286
                   2.448                     -0.43153125
               2.4560001                     -0.43891378
                   2.464                     -0.44601949
               2.4719999                     -0.45285079
                    2.48                     -0.45941835
               2.4879999                     -0.46574352
               2.4960001                     -0.47185917
               2.5039999                     -0.47780402
               2.5120001                     -0.48363156
                    2.52                      -0.4894002
               2.5280001                      -0.4951749
                   2.536                     -0.50102857
               2.5439999                     -0.50703712
                   2.552                     -0.51328132
               2.5599999                     -0.51984292
               2.5680001                     -0.52680331
                   2.576                     -0.53424404
               2.5840001                     -0.54224286
                   2.592                     -0.55087434
               2.5999999                     -0.56020722
                   2.608                     -0.57030446
               2.6159999                     -0.58122065
               2.6240001                     -0.59300205
                   2.632                      -0.6056872
               2.6400001                     -0.61930208
                   2.648                     -0.63386717
               2.6559999                      -0.6493894
                   2.664                     -0.66586772
               2.6719999                     -0.68329135
               2.6800001                     -0.70164039
                   2.688                     -0.72088842
               2.6960001                     -0.74099947
                   2.704                     -0.76193539
               2.7119999                     -0.78365252
                    2.72                     -0.80610259
               2.7279999                     -0.82924079
               2.7360001                     -0.85301981
                   2.744                     -0.87739764
               2.7520001                     -0.90233769
